차량명,연식,주행거리,가격
KG모빌리티(쌍용) 베리 뉴 티볼리 1.5 가솔린 2WD V3,21년 4월식,"25,900km","1,460만원"
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 프리미엄 LWB,23년 12월식,"24,372km","8,700만원"
벤츠 A-클래스 W177 가솔린 2WD A220 세단,25년 7월식(26년형),"2,423km","4,000만원"
아우디 Q8 (4M) 디젤 4WD 50 TDI 콰트로 프리미엄,21년 4월식,"51,499km","6,490만원"
벤츠 AMG GT 4도어 43 4MATIC+,24년 8월식,"17,004km","10,150만원"
벤츠 E-클래스 W213 E350 4MATIC AMG Line,22년 12월식(23년형),"30,815km","5,750만원"
아우디 Q8 (4M) 가솔린 4WD 55 TFSI 콰트로 프리미엄,23년 12월식,"17,540km","8,850만원"
BMW 5시리즈 (G30) 530i M 스포츠,20년 12월식,"37,772km","3,700만원"
BMW 3시리즈 (G20) 가솔린 2WD M340i,23년 4월식,"25,146km","6,300만원"
BMW 5시리즈 (G60) 가솔린 2WD 520i,25년 7월식,"10,035km","5,400만원"
르노코리아(삼성) SM6 2.0 GDe RE,16년 12월식,"66,660km",860만원
현대 더 뉴 그랜저 가솔린 2.5 익스클루시브,21년 3월식,"96,216km","2,190만원"
KG모빌리티(쌍용) 티볼리 에어 디젤 IX 2WD 기본형,17년 8월식(18년형),"61,578km",870만원
기아 K5 2세대 1.7 디젤 MX 프레스티지,15년 9월식(16년형),"111,162km",760만원
현대 더 뉴 아반떼 1.6 GDi 스마트 기본형,14년 4월식,"116,031km",630만원
현대 더 뉴 싼타페 가솔린 2.5 2WD 캘리그래피,22년 4월식,"57,648km","2,860만원"
기아 더 뉴 카니발 가솔린 7인승 리무진 프레지던트,18년 8월식(19년형),"87,048km","1,990만원"
현대 올 뉴 투싼 TL 디젤 1.6 2WD 프리미엄,19년 6월식,"77,420km","1,650만원"
현대 팰리세이드 가솔린 3.8 2WD 프레스티지 (7인승),20년 4월식,"74,907km","2,490만원"
BMW X1 (F48) xDrive 20i xLine,22년 4월식,"54,979km","3,170만원"
BMW X6 (G06) 가솔린 4WD xDrive40i M 스포츠,20년 9월식,"60,007km","6,720만원"
현대 쏘나타 뉴 라이즈 2.0 스마트 스페셜,18년 7월식(19년형),"62,361km","1,430만원"
포드 익스플로러 6세대 가솔린 4WD 2.3 리미티드,21년 5월식,"45,055km","3,000만원"
현대 그랜저 HG HG300 프리미엄,15년 3월식,"108,161km",880만원
기아 레이 디럭스,17년 3월식,"93,549km",750만원
KG모빌리티(쌍용) 티볼리 VX 2WD,16년 10월식(17년형),"87,929km",830만원
기아 카니발 (4세대) 디젤 2.2 (9인승) 시그니처,21년 1월식,"132,046km","2,450만원"
현대 팰리세이드 가솔린 3.8 2WD VIP (7인승),21년 2월식,"99,705km","2,800만원"
제네시스 G80 (RG3) 가솔린 터보 2.5 AWD,20년 8월식(21년형),"100,615km","3,540만원"
현대 캐스퍼 가솔린 1.0 밴 스마트,22년 11월식(23년형),"34,885km","1,250만원"
기아 더 뉴 니로 노블레스,20년 7월식,"98,854km","1,880만원"
기아 디 올 뉴 스포티지 1.6 가솔린 터보 2WD 시그니처 그래비티,22년 1월식,"70,395km","2,780만원"
기아 쏘렌토 4세대 하이브리드 가솔린 터보 1.6 2WD 프레스티지,22년 3월식,"95,415km","2,630만원"
현대 그랜저 IG 2.4 프리미엄 세부등급 없음,19년 2월식,"101,128km","1,500만원"
현대 더 뉴 그랜저 가솔린 3.3 익스클루시브,20년 8월식,"76,630km","2,150만원"
현대 싼타페 더 프라임 디젤 2.0 2WD 익스클루시브 스페셜,15년 11월식(16년형),"93,361km","1,310만원"
기아 모하비 더 마스터 디젤 3.0 4WD 마스터즈 6인승,22년 4월식,"68,958km","3,620만원"
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 프리미엄 LWB,23년 12월식,"24,372km","8,700만원"
벤츠 A-클래스 W177 가솔린 2WD A220 세단,25년 7월식(26년형),"2,423km","4,000만원"
아우디 Q8 (4M) 디젤 4WD 50 TDI 콰트로 프리미엄,21년 4월식,"51,499km","6,490만원"
벤츠 AMG GT 4도어 43 4MATIC+,24년 8월식,"17,004km","10,150만원"
벤츠 E-클래스 W213 E350 4MATIC AMG Line,22년 12월식(23년형),"30,815km","5,750만원"
아우디 Q8 (4M) 가솔린 4WD 55 TFSI 콰트로 프리미엄,23년 12월식,"17,540km","8,850만원"
BMW 5시리즈 (G30) 530i M 스포츠,20년 12월식,"37,772km","3,700만원"
BMW 3시리즈 (G20) 가솔린 2WD M340i,23년 4월식,"25,146km","6,300만원"
BMW 5시리즈 (G60) 가솔린 2WD 520i,25년 7월식,"10,035km","5,400만원"
기아 쏘렌토 4세대 하이브리드 가솔린 터보 1.6 2WD 시그니처,21년 2월식,"93,743km","2,920만원"
현대 더 뉴 아반떼 N 가솔린 터보 2.0,23년 9월식(24년형),"49,147km","2,540만원"
기아 스토닉 1.4 가솔린 프레스티지,18년 12월식(19년형),"46,573km","1,190만원"
기아 더 뉴 카니발 9인승 프레스티지,18년 7월식(19년형),"87,420km","1,690만원"
르노코리아(삼성) 뉴 QM6 LPG 2.0 2WD (일반인 판매용) RE 시그니처,22년 4월식,"98,661km","1,590만원"
기아 더 뉴 모닝 디럭스,15년 12월식(16년형),"53,704km",550만원
현대 포터2 CRDi 카고 초장축 더블캡 모던,21년 3월식(22년형),"30,786km","1,790만원"
제네시스 G70 3.3T 스포츠 AWD 슈프림,18년 7월식,"82,283km","2,260만원"
KG모빌리티(쌍용) 티볼리 에어 가솔린 1.6 RX 2WD,17년 7월식,"75,413km",900만원
기아 더 뉴 스포티지 R 디젤 2WD 트렌디,14년 11월식(15년형),"107,775km",820만원
기아 디 올 뉴 스포티지 하이브리드 가솔린 터보 1.6 2WD 시그니처,21년 11월식(22년형),"39,152km","3,040만원"
현대 올 뉴 투싼 디젤 1.7 2WD 모던,17년 4월식,"72,414km","1,090만원"
현대 팰리세이드 디젤 2.2 4WD 프레스티지 (7인승),19년 1월식,"109,702km","2,750만원"
BMW X1 (F48) xDrive 20i xLine,22년 2월식,"23,436km","3,190만원"
기아 더 뉴 봉고III 트럭 LPi 2.5 터보 특장 1톤 워크스루밴 킹캡 초장축 L,24년 6월식,"5,317km","2,620만원"
아우디 뉴 A6 (C7) 35 TDI 프리미엄 C7,18년 5월식,"38,595km","2,110만원"
제네시스 G80 (RG3) 가솔린 터보 2.5 AWD,23년 5월식,"62,401km","4,450만원"
현대 아반떼 AD 1.6 GDI 프리미엄,15년 10월식(16년형),"50,156km","1,190만원"
현대 더 뉴 그랜저 가솔린 2.5 르블랑,22년 4월식,"59,947km","2,770만원"
기아 올 뉴 K3 프레스티지,18년 11월식(19년형),"116,145km","1,200만원"
기아 올 뉴 쏘렌토 디젤 2.0 2WD 노블레스 스페셜,14년 11월식(15년형),"115,085km","1,390만원"
현대 쏘나타 DN8 2.0 LPi(렌터카용) 스마트,22년 6월식,"90,258km","1,620만원"
르노코리아(삼성) 그랑 콜레오스 하이브리드 1.5 E-TECH 2WD 아이코닉,25년 2월식,"10,154km","3,720만원"
쉐보레(GM대우) 올 뉴 말리부 1.5 터보 LTZ 세부등급 없음,17년 4월식,"100,362km",850만원
폭스바겐 골프 7세대 2.0 TDI,15년 2월식,"89,768km","1,250만원"
기아 스포티지 4세대 디젤 2.0 2WD 노블레스 세부등급 없음,16년 9월식,"69,732km","1,330만원"
KG모빌리티(쌍용) 토레스 가솔린 1.5 4WD T7,23년 3월식,"40,267km","2,290만원"
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 프리미엄 LWB,23년 12월식,"24,372km","8,700만원"
벤츠 A-클래스 W177 가솔린 2WD A220 세단,25년 7월식(26년형),"2,423km","4,000만원"
아우디 Q8 (4M) 디젤 4WD 50 TDI 콰트로 프리미엄,21년 4월식,"51,499km","6,490만원"
벤츠 AMG GT 4도어 43 4MATIC+,24년 8월식,"17,004km","10,150만원"
벤츠 E-클래스 W213 E350 4MATIC AMG Line,22년 12월식(23년형),"30,815km","5,750만원"
아우디 Q8 (4M) 가솔린 4WD 55 TFSI 콰트로 프리미엄,23년 12월식,"17,540km","8,850만원"
BMW 5시리즈 (G30) 530i M 스포츠,20년 12월식,"37,772km","3,700만원"
BMW 3시리즈 (G20) 가솔린 2WD M340i,23년 4월식,"25,146km","6,300만원"
BMW 5시리즈 (G60) 가솔린 2WD 520i,25년 7월식,"10,035km","5,400만원"
기아 올 뉴 K7 2.4 GDI 프레스티지,16년 4월식,"89,211km","1,110만원"
현대 팰리세이드 가솔린 3.8 2WD 프레스티지 (7인승),19년 1월식,"84,957km","2,220만원"
제네시스 G80 (RG3) 가솔린 터보 2.5 AWD,22년 9월식,"54,332km","5,070만원"
현대 더 뉴 그랜저 가솔린 3.3 캘리그래피,22년 1월식,"96,866km","2,520만원"
현대 쏘나타 더 브릴리언트 CVVL 스마트,13년 8월식(14년형),"106,434km",550만원
현대 올 뉴 투싼 디젤 1.7 2WD 모던,18년 6월식,"123,864km","1,130만원"
르노코리아(삼성) 더 뉴 QM6 가솔린 2WD 2.0 GDe 프리미에르,20년 6월식,"103,037km","1,520만원"
기아 모하비 더 마스터 디젤 3.0 4WD 마스터즈 7인승,19년 11월식(20년형),"105,119km","2,790만원"
쉐보레(GM대우) 더 뉴 트랙스 1.4 LT 디럭스,17년 2월식,"76,026km",730만원
현대 아반떼 (CN7) 가솔린 1.6 모던,20년 9월식(21년형),"64,427km","1,720만원"
기아 카니발 (4세대) 디젤 2.2 (9인승) 프레스티지,20년 9월식(21년형),"63,019km","2,450만원"
쉐보레(GM대우) 더 넥스트 스파크 LT 플러스,16년 4월식,"76,971km",590만원
기아 카니발 (4세대) 가솔린 3.5 (9인승) 시그니처,21년 7월식,"45,594km","2,920만원"
현대 그랜저 HG HG300 익스클루시브,16년 10월식,"44,957km","1,190만원"
현대 벨로스터 (JS) 1.6 터보 스포츠 코어,19년 12월식,"66,686km","1,410만원"
기아 K5 3세대 가솔린 터보 1.6 노블레스,20년 7월식,"46,032km","2,180만원"
기아 카니발 (4세대) 디젤 2.2 (9인승) 프레스티지,21년 11월식(22년형),"36,304km","2,770만원"
르노코리아(삼성) XM3 가솔린 터보 1.3 RE 시그니쳐,20년 3월식,"57,392km","1,420만원"
기아 니로 럭셔리,18년 1월식,"98,825km","1,310만원"
기아 더 뉴 봉고III 트럭 특장 1톤 초장축 킹캡 표준형 냉동탑차 (듀얼컴프) L,23년 9월식,"84,451km","1,820만원"
기아 셀토스 가솔린 터보 1.6 2WD 시그니처,21년 6월식(22년형),"45,217km","1,890만원"
기아 더 뉴 K5 2세대 2.0 프레스티지,18년 11월식(19년형),"77,471km","1,350만원"
현대 더 뉴 그랜드 스타렉스 밴 5인승 모던,19년 9월식(20년형),"114,038km","1,520만원"
현대 더 뉴 팰리세이드 디젤 2.2 2WD 르블랑,23년 10월식(24년형),"39,279km","3,150만원"
현대 싼타페 DM 디젤(e-VGT) 2.0 2WD 익스클루시브 세부등급 없음,15년 6월식,"145,254km","1,090만원"
현대 제네시스 DH G330 프리미엄 AWD,16년 4월식,"76,366km","1,620만원"
현대 YF 쏘나타 Y20 프리미어 세부등급 없음,10년 11월식(11년형),"65,529km",670만원
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 프리미엄 LWB,23년 12월식,"24,372km","8,700만원"
벤츠 A-클래스 W177 가솔린 2WD A220 세단,25년 7월식(26년형),"2,423km","4,000만원"
아우디 Q8 (4M) 디젤 4WD 50 TDI 콰트로 프리미엄,21년 4월식,"51,499km","6,490만원"
벤츠 AMG GT 4도어 43 4MATIC+,24년 8월식,"17,004km","10,150만원"
벤츠 E-클래스 W213 E350 4MATIC AMG Line,22년 12월식(23년형),"30,815km","5,750만원"
아우디 Q8 (4M) 가솔린 4WD 55 TFSI 콰트로 프리미엄,23년 12월식,"17,540km","8,850만원"
BMW 5시리즈 (G30) 530i M 스포츠,20년 12월식,"37,772km","3,700만원"
BMW 3시리즈 (G20) 가솔린 2WD M340i,23년 4월식,"25,146km","6,300만원"
BMW 5시리즈 (G60) 가솔린 2WD 520i,25년 7월식,"10,035km","5,400만원"
기아 올 뉴 K3 럭셔리,19년 10월식(20년형),"70,779km","1,390만원"
기아 디 올 뉴 스포티지 2.0 디젤 2WD 시그니처 그래비티,21년 12월식(22년형),"57,965km","2,660만원"
제네시스 GV80 가솔린 2.5 2WD (6인승),22년 12월식,"45,162km","4,700만원"
벤츠 E-클래스 W212 E350 4MATIC 아방가르드 인텔리전트 드라이브,14년 3월식,"88,351km","1,190만원"
제네시스 G80 (RG3) 가솔린 터보 2.5 AWD,21년 4월식,"79,943km","3,740만원"
기아 K8 하이브리드 노블레스,23년 1월식,"62,653km","2,950만원"
현대 싼타페 TM 가솔린 2.0T 2WD 프레스티지,20년 5월식,"46,414km","2,530만원"
현대 아반떼 (CN7) 가솔린 1.6 모던,22년 1월식,"22,645km","1,860만원"
현대 아이오닉 6 롱레인지 AWD 프레스티지,22년 10월식(23년형),"47,580km","3,380만원"
기아 스토닉 1.4 가솔린 프레스티지,18년 6월식,"100,880km","1,170만원"
현대 코나 하이브리드 가솔린 1.6 하이브리드 모던 스폐셜,19년 11월식(20년형),"104,764km","1,400만원"
기아 K3 프레스티지,15년 7월식,"113,787km",710만원
BMW 5시리즈 (G30) 520i 럭셔리,18년 12월식,"81,958km","2,450만원"
기아 스포티지 4세대 디젤 1.7 2WD 노블레스 세부등급 없음,16년 1월식,"50,623km","1,280만원"
기아 올 뉴 K7 2.4 GDI 리미티드 에디션,16년 12월식(17년형),"91,735km","1,190만원"
현대 넥쏘 프리미엄,23년 2월식,"93,294km","1,990만원"
현대 팰리세이드 디젤 2.2 4WD VIP (7인승),21년 2월식,"67,619km","3,610만원"
기아 더 뉴 모닝 디럭스,15년 3월식(16년형),"83,453km",530만원
기아 디 올 뉴 스포티지 1.6 가솔린 터보 2WD 시그니처 그래비티,23년 4월식,"39,950km","2,720만원"
기아 셀토스 디젤 1.6 2WD 노블레스,20년 1월식,"98,982km","1,480만원"
현대 더 뉴 팰리세이드 디젤 2.2 2WD 프레스티지,23년 2월식,"37,333km","3,680만원"
기아 레이 럭셔리,16년 4월식,"125,774km",690만원
기아 셀토스 가솔린 터보 1.6 2WD 시그니처,20년 9월식(21년형),"76,192km","1,870만원"
쉐보레(GM대우) 올 뉴 말리부 1.5 터보 LTZ 세부등급 없음,16년 6월식(17년형),"106,755km",890만원
기아 올 뉴 카니발 9인승 럭셔리,15년 1월식,"112,029km",990만원
현대 투싼 (4세대) 1.6 터보 프리미엄,21년 1월식,"50,021km","2,500만원"
기아 카니발 (4세대) 가솔린 3.5 (7인승) 시그니처,22년 7월식(23년형),"66,971km","2,850만원"
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 프리미엄 LWB,23년 12월식,"24,372km","8,700만원"
벤츠 A-클래스 W177 가솔린 2WD A220 세단,25년 7월식(26년형),"2,423km","4,000만원"
아우디 Q8 (4M) 디젤 4WD 50 TDI 콰트로 프리미엄,21년 4월식,"51,499km","6,490만원"
벤츠 AMG GT 4도어 43 4MATIC+,24년 8월식,"17,004km","10,150만원"
벤츠 E-클래스 W213 E350 4MATIC AMG Line,22년 12월식(23년형),"30,815km","5,750만원"
아우디 Q8 (4M) 가솔린 4WD 55 TFSI 콰트로 프리미엄,23년 12월식,"17,540km","8,850만원"
BMW 5시리즈 (G30) 530i M 스포츠,20년 12월식,"37,772km","3,700만원"
BMW 3시리즈 (G20) 가솔린 2WD M340i,23년 4월식,"25,146km","6,300만원"
BMW 5시리즈 (G60) 가솔린 2WD 520i,25년 7월식,"10,035km","5,400만원"
쉐보레(GM대우) 더 넥스트 스파크 LTZ,17년 3월식,"49,958km",690만원
기아 더 뉴 쏘렌토 디젤 2.2 2WD 마스터,19년 7월식(20년형),"99,458km","1,910만원"
벤츠 E-클래스 W212 E200 카브리올레,16년 1월식,"59,575km","1,920만원"
현대 캐스퍼 가솔린 1.0 밴 스마트,23년 1월식,"51,106km","1,140만원"
기아 모닝 어반 가솔린 1.0 시그니쳐,21년 11월식(22년형),"24,505km","1,230만원"
기아 더 뉴 K7 2.4 GDI 프레스티지 스페셜,14년 1월식,"84,247km",720만원
KG모빌리티(쌍용) 더 뉴 렉스턴 스포츠 칸 디젤 2.2 2WD 프레스티지,22년 8월식,"37,809km","2,290만원"
현대 아반떼 MD M16 GDI 탑,11년 5월식(12년형),"113,070km",480만원
기아 더 뉴 K5 2세대 2.0 LPI 렌터카 럭셔리,19년 4월식,"106,723km","1,050만원"
르노코리아(삼성) SM5 노바 클래식,19년 7월식,"78,559km",760만원
현대 더 뉴 싼타페 가솔린 2.5 4WD 프레스티지,23년 8월식,"54,034km","2,950만원"
르노코리아(삼성) QM6 가솔린 2WD RE 시그니처,18년 7월식(19년형),"109,525km","1,120만원"
BMW X3 (G01) xDrive 20d M 스포츠,21년 2월식,"70,963km","3,760만원"
기아 더 뉴 카니발 4세대 디젤 2.2 9인승 프레스티지,24년 7월식(25년형),"24,864km","3,260만원"
제네시스 G70 2.0T AWD 슈프림,18년 7월식,"94,325km","1,790만원"
기아 올 뉴 카니발 9인승 프레스티지,17년 3월식,"124,564km","1,130만원"
폭스바겐 파사트 GT (B8) TDI 프레스티지,21년 7월식,"55,080km","2,430만원"
현대 아반떼 MD M16 GDI 프리미엄,12년 10월식(13년형),"85,504km",630만원
현대 더 뉴 아반떼 1.6 GDi 모던 기본형,14년 10월식(15년형),"107,871km",680만원
현대 더 뉴 그랜저 가솔린 2.5 르블랑,21년 10월식(22년형),"19,849km","2,710만원"
기아 레이 터보 프레스티지,13년 12월식(14년형),"92,742km",770만원
현대 아반떼 (CN7) 가솔린 1.6 스마트,21년 2월식,"32,795km","1,560만원"
르노코리아(삼성) 더 뉴 QM6 가솔린 2WD 2.0 GDe 프리미에르,20년 6월식,"104,216km","1,590만원"
기아 더 뉴 K9 3.8 GDI 이그제큐티브,16년 9월식,"127,719km","1,220만원"
기아 K7 프리미어 하이브리드 프레스티지,20년 9월식,"80,019km","2,150만원"
현대 더 뉴 팰리세이드 디젤 2.2 2WD 캘리그래피,23년 11월식(24년형),"11,202km","4,500만원"
KG모빌리티(쌍용) 티볼리 에어 가솔린 1.5 업비트,22년 10월식,"16,684km","1,770만원"
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 프리미엄 LWB,23년 12월식,"24,372km","8,700만원"
벤츠 A-클래스 W177 가솔린 2WD A220 세단,25년 7월식(26년형),"2,423km","4,000만원"
아우디 Q8 (4M) 디젤 4WD 50 TDI 콰트로 프리미엄,21년 4월식,"51,499km","6,490만원"
벤츠 AMG GT 4도어 43 4MATIC+,24년 8월식,"17,004km","10,150만원"
벤츠 E-클래스 W213 E350 4MATIC AMG Line,22년 12월식(23년형),"30,815km","5,750만원"
아우디 Q8 (4M) 가솔린 4WD 55 TFSI 콰트로 프리미엄,23년 12월식,"17,540km","8,850만원"
BMW 5시리즈 (G30) 530i M 스포츠,20년 12월식,"37,772km","3,700만원"
BMW 3시리즈 (G20) 가솔린 2WD M340i,23년 4월식,"25,146km","6,300만원"
BMW 5시리즈 (G60) 가솔린 2WD 520i,25년 7월식,"10,035km","5,400만원"
기아 K7 하이브리드 700h 프레스티지,16년 1월식,"116,684km","1,220만원"
현대 포터2 CRDi 카고 초장축 더블캡 모던,22년 9월식,"51,529km","1,780만원"
기아 K5 2세대 2.0 SX 디럭스,16년 3월식,"115,454km",790만원
현대 아반떼 AD 1.6 GDI 스마트 세부등급 없음,16년 7월식(17년형),"151,004km",690만원
BMW 5시리즈 (G30) 520i 럭셔리,18년 8월식,"76,155km","2,360만원"
현대 LF 쏘나타 2.0 프리미엄 세부등급 없음,16년 12월식(17년형),"136,650km","1,130만원"
현대 아반떼 쿠페 2.0 GDi 스마트,13년 10월식(14년형),"84,259km",600만원
기아 쏘렌토 4세대 하이브리드 가솔린 터보 1.6 2WD 프레스티지,22년 3월식,"70,156km","2,790만원"
기아 더 뉴 레이 밴 (2인승) 스탠다드,21년 10월식(22년형),"55,814km",910만원
기아 K5 하이브리드 프레스티지,13년 1월식,"94,457km",680만원
현대 그랜저 IG 2.4 프리미엄 세부등급 없음,19년 1월식,"48,387km","1,620만원"
기아 올 뉴 모닝 (JA) 프레스티지,17년 5월식,"42,707km",950만원
현대 팰리세이드 디젤 2.2 2WD 캘리그래피 (7인승),20년 8월식(21년형),"45,002km","3,080만원"
